feature,importance
SHOT_DIST,0.49813622
CLOSE_DEF_DIST,0.21818778
TOUCH_TIME,0.093287766
SHOT_CLOCK,0.08063301
HEIGHT_DIFFERENTIAL,0.058697805
DIST_x_CLOSE_DEF,0.051057387
