Feature,EDOF,Lambda
max_shoulder_internal_rotational_velo,38.91644715637594,[0.6]
max_shoulder_external_rotation,38.91644715637594,[0.6]
max_shoulder_horizontal_abduction,38.91644715637594,[0.6]
elbow_transfer_fp_br,38.91644715637594,[0.6]
