"pitch_speed_mph","max_shoulder_internal_rotational_velo","max_torso_rotational_velo","max_shoulder_external_rotation","shoulder_horizontal_abduction_fp","pelvis_anterior_tilt_fp","max_cog_velo_x","glove_shoulder_external_rotation_fp","torso_lateral_tilt_br","lead_knee_extension_from_fp_to_br","stride_angle","max_shoulder_horizontal_abduction","shoulder_generation_fp_br","elbow_absorption_fp_br","lead_knee_transfer_fp_br","rear_hip_generation_pkh_fp"
88.6,4441.5525,1006.1249,181.0923,61.2413,6.293,3.0013,-29.793,15.6978,-4.33,4.0899,61.5829,36.8987,51.5431,20.5032,29.1087
89.5,4396.7695,1023.9771,183.9835,63.8887,7.4228,2.9838,-32.1627,14.6933,1.3409,4.0328,63.9691,40.3408,51.2367,30.1295,26.2423
82.3,4613.9717,1063.3883,162.6345,28.6404,6.2595,2.7102,-23.6748,31.2756,15.907,7.1443,29.5808,37.4876,51.3883,53.2543,95.9625
82.3,4657.1729,1128.1505,163.9942,25.9529,9.23,2.7655,-26.4267,25.3891,17.5512,8.9747,29.3327,40.6309,50.78,57.6609,85.9423
83,4596.8585,1081.1519,163.8234,28.5539,7.0541,2.783,-25.1399,26.3763,11.3964,8.3505,29.8258,40.9636,52.0989,64.5824,82.0335
86.3,4469.8254,1054.8767,174.1473,28.1365,2.5355,2.8922,-57.4529,20.5675,24.8091,-1.0602,34.0366,24.6228,60.9498,59.0319,206.0722
86.1,4341.0389,1017.7234,175.7553,25.2915,6.4583,3.0026,-58.9297,15.825,20.7093,0.5114,32.8027,23.4545,55.4308,53.3964,191.2346
86.2,4460.5682,1030.0709,173.6189,30.0037,2.1679,3.0566,-59.2374,21.5702,18.4474,0.6405,31.249,21.6944,69.5398,52.4051,211.1228
85,4945.4721,1020.316,172.0197,17.957,22.6524,3.2196,-38.1588,19.6814,16.1772,-1.7194,39.121,25.5923,21.8319,30.4916,177.8344
85.6,5037.5382,1036.0217,172.1789,17.6519,22.08,3.1657,-37.8332,20.1788,18.8031,-1.8754,37.6168,22.7762,29.9307,24.7696,183.5992
85.1,4923.8073,1037.927,170.7834,14.1358,22.6723,3.2398,-34.2255,21.4411,17.0348,-2.6066,36.818,32.2671,34.1849,23.3739,208.2491
