SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_CLOCK,HEIGHT_DIFFERENTIAL,HAS_HEIGHT_ADVANTAGE,LOW_CLOCK,LONG_TOUCH,HIGH_DRIBBLE,SHOT_EVENT_ID
6.3,2.8,2.0,6.0,1.0,0,0,0,0,7aaf592622fa
20.4,5.0,2.3,4.5,2.0,0,1,0,0,52040f940506
13.6,3.9,3.4,7.9,-3.0,0,0,0,0,e7a25f084add
8.7,2.2,1.8,8.8,2.0,0,0,0,0,8c968cc060e2
27.9,3.7,4.0,2.6,0.0,0,1,0,0,a2be15f457f0
7.8,2.8,3.4,18.6,-8.0,0,0,0,0,2ff908289b1e
5.6,2.2,0.5,4.1,1.0,0,1,0,0,b052476db6aa
6.6,0.5,3.3,11.8,-4.0,0,0,0,0,f1992979644d
5.8,5.7,3.7,0.0,-8.0,0,1,0,0,60c28767d1d3
23.4,7.8,0.0,10.7,3.0,0,0,0,0,d292c44be889
16.3,4.3,4.6,11.0,-2.0,0,0,0,0,8be388bb3c33
25.5,8.3,0.7,11.7,-1.0,0,0,0,0,a73a17135f4c
4.6,1.8,0.9,14.3,-1.0,0,0,0,0,67ca2fddac76
4.0,5.9,0.4,19.7,-3.0,0,0,0,0,ecb868a7f022
18.0,3.3,0.7,10.6,-1.0,0,0,0,0,42bc8237b98e
4.1,1.8,4.0,3.9,-4.0,0,1,0,0,6ab713acf9f1
17.0,6.7,1.0,8.0,-2.0,0,0,0,0,4c4c89525cf5
2.5,1.1,1.2,14.5,-2.0,0,0,0,0,86dff44db072
4.3,4.3,4.8,5.6,6.0,1,0,0,0,5fdfc0bef405
2.3,0.8,1.5,12.8,-4.0,0,0,0,0,cc29201cae47
23.1,4.4,0.9,10.0,-3.0,0,0,0,0,c8ff2c0fdc07
15.3,4.4,5.0,6.9,-5.0,0,0,0,1,f037f08e716b
1.0,5.0,1.5,24.0,8.0,1,0,0,0,1f3e93975ea0
15.1,9.6,1.6,2.7,-4.0,0,1,0,0,4a1b242ce9aa
5.8,2.5,2.0,14.0,6.0,1,0,0,0,7cfbd0184161
25.5,5.2,0.8,6.8,-3.0,0,0,0,0,032b01647c97
6.4,1.3,2.8,14.4,-1.0,0,0,0,0,a71ccd4748f7
18.6,3.6,4.2,1.2,4.0,0,1,0,0,9201b582b3f7
21.3,4.2,1.3,11.6,-1.0,0,0,0,0,abaa6b7f96b0
25.3,3.8,0.8,10.4,-1.0,0,0,0,0,5b2d00478ff8
4.6,1.1,0.6,24.0,-4.0,0,0,0,0,94cc865f52ae
24.3,4.0,1.0,5.0,2.0,0,1,0,0,bf9e77bd41a4
24.5,6.0,0.8,19.0,7.0,1,0,0,0,a920dd076520
2.2,0.8,3.6,21.4,0.0,0,0,0,0,9c1151e06b3f
5.1,3.1,3.4,9.0,6.0,1,0,0,0,b27ca9abd205
22.9,5.9,0.9,7.3,0.0,0,0,0,0,cd3f7122999b
25.2,5.2,2.9,1.6,-1.0,0,1,0,0,b390edb24b92
24.5,3.6,0.7,8.0,5.0,1,0,0,0,097c3484ecc6
24.6,11.3,0.9,11.3,-6.0,0,0,0,0,ee03ee45fa39
2.9,1.9,1.8,11.2,-1.0,0,0,0,0,40a8a7983b05
6.6,3.3,5.5,16.7,-9.0,0,0,0,1,86d515d1e880
1.8,1.8,0.3,5.7,-1.0,0,0,0,0,f6f216aa54f3
3.9,1.8,0.6,7.0,4.0,0,0,0,0,e3bed9811e4f
19.5,2.9,3.2,20.0,-1.0,0,0,0,0,a33e8099801b
3.0,8.0,0.6,19.8,-3.0,0,0,0,0,ea0a594e51ee
3.6,1.7,0.6,5.2,-6.0,0,0,0,0,e222de05de0e
2.7,0.8,0.7,18.9,-2.0,0,0,0,0,be02f795a7e8
22.5,4.1,1.0,10.6,-2.0,0,0,0,0,fd50b52a6597
24.3,4.3,1.1,14.3,-3.0,0,0,0,0,d2891a76cc5d
24.3,5.9,0.7,0.0,-3.0,0,1,0,0,cd4e2e00e429
7.1,1.8,6.9,7.2,1.0,0,0,0,0,bdc1c3e6ab2c
16.4,5.2,4.4,8.1,4.0,0,0,0,1,edcf25d159d3
26.4,4.6,6.0,18.1,-6.0,0,0,0,1,42ad8d50bc71
16.2,4.0,4.4,0.0,-3.0,0,1,0,0,96b89cc36ea8
4.8,1.7,0.7,2.7,4.0,0,1,0,0,b1d1a0f682c5
12.9,3.9,3.1,7.0,3.0,0,0,0,0,83fc84b9f8ef
18.7,8.2,1.1,12.0,4.0,0,0,0,0,4263517ed2d8
1.3,5.0,0.5,10.8,-6.0,0,0,0,0,a76ff2b51cb4
5.7,5.0,1.3,21.0,1.0,0,0,0,0,d2a1c2266978
22.2,5.4,1.7,5.5,0.0,0,0,0,0,d2ece4828e53
23.5,3.2,0.8,5.0,-1.0,0,1,0,0,b6e386acd2d3
26.7,3.3,13.4,11.2,-3.0,0,0,1,1,194c5cfeb320
25.2,7.8,1.2,15.6,-3.0,0,0,0,0,155a45349fbc
9.8,3.7,1.0,0.0,3.0,0,1,0,0,f5e3442a8edf
16.6,2.6,7.3,16.9,0.0,0,0,0,1,f116319ebe92
18.9,3.4,2.3,8.0,0.0,0,0,0,0,be893fcdfd5a
22.9,4.5,0.6,20.1,-1.0,0,0,0,0,29aaf38a79b3
17.6,7.4,4.2,20.0,-5.0,0,0,0,0,164bcce92e51
18.0,3.3,0.8,17.7,0.0,0,0,0,0,c27f53b2e0c5
18.1,5.5,3.2,19.9,-7.0,0,0,0,1,43f718ed4297
17.4,4.9,11.3,0.0,-9.0,0,1,1,1,f5e20cd035d5
22.7,10.7,1.3,10.4,1.0,0,0,0,0,c4273bd5dbdc
0.3,2.8,3.8,5.1,1.0,0,0,0,0,d64b56be4927
3.8,2.7,7.3,17.5,-2.0,0,0,0,1,c03373a5b1a6
2.1,3.7,0.7,7.4,4.0,0,0,0,0,9d0df8322bff
10.4,1.7,1.9,13.7,0.0,0,0,0,0,c165c0351e82
24.6,7.3,0.9,17.0,-1.0,0,0,0,0,7fa4023df333
8.6,2.9,0.7,6.2,-3.0,0,0,0,0,77578214a772
20.3,6.4,3.7,12.1,-3.0,0,0,0,0,3adf52cdb7d0
23.3,2.8,2.7,0.0,-8.0,0,1,0,0,4d95f1e07a9c
18.3,10.5,0.9,17.3,7.0,1,0,0,0,cef3d634a174
7.9,0.5,1.2,4.8,-1.0,0,1,0,0,73c82aadaed5
25.6,5.1,1.0,2.8,-4.0,0,1,0,0,142dd9cb43ff
17.9,3.6,0.8,12.8,0.0,0,0,0,0,4dab90ad4dce
26.2,4.6,1.1,22.0,3.0,0,0,0,0,a358a9cd1165
8.3,2.2,0.7,8.0,5.0,1,0,0,0,c9b5d803a9a9
8.1,4.5,3.3,12.2,-3.0,0,0,0,0,3c7fc5597f9b
3.5,3.9,0.5,19.6,6.0,1,0,0,0,dda9037fe7ce
14.2,4.6,3.7,1.8,-3.0,0,1,0,0,6cc21899eb19
1.3,4.3,0.9,11.2,-1.0,0,0,0,0,273f5cdfd2e4
19.3,7.2,3.8,11.2,-3.0,0,0,0,0,73b13b573477
14.7,7.9,1.9,8.3,-4.0,0,0,0,0,f200d438d06e
23.2,7.6,0.9,3.2,4.0,0,1,0,0,2890e7fea29a
3.8,2.6,0.0,23.2,1.0,0,0,0,0,a644be6be90b
4.0,2.0,0.4,15.6,4.0,0,0,0,0,9b8e9502a601
24.7,10.3,1.3,7.5,6.0,1,0,0,0,a90163852183
18.3,2.0,0.6,9.2,1.0,0,0,0,0,6af272012814
18.5,6.1,1.4,11.4,-4.0,0,0,0,0,8f1a957869d3
