Model,Log Loss,Accuracy,AUC
Logistic Regression (v1),0.6670543311193359,0.5996885357185641,0.6160114358465387
Logistic Regression (v2),0.6670545394231797,0.5996486044004312,0.6160112556129564
Random Forest (v1),0.6648306263942748,0.6063570658467436,0.621558809870281
Random Forest (v2),0.654561294219701,0.6120273130216028,0.6319522078987161
Random Forest (v3),0.6503844436196605,0.6153016811084934,0.6372582845589075
XGBoost (v1),0.649265941954594,0.6150620931996965,0.6385489983917758
XGBoost (v2),0.6495023253613432,0.6151818871540949,0.6385535138867015
