"Feature","Missing_Count"
"blast_bat_speed_mph_x",30
"exit_velo_mph_x",5
"pitch",73
"strike_zone",124
"la",73
"dist",73
"res",73
"bearing",73
"vertical_distance",73
"horizontal_distance",73
"poi_x",73
"poi_y",73
"poi_z",73
"pitch_angle",73
