column,status,flag_reason
PLAYER_ID,PASS,
HEIGHT_INCHES,PASS,
DRAFT_YEAR,PASS,
DRAFT_ROUND,PASS,
DRAFT_NUMBER,PASS,
TEAM_ID,PASS,
