model_variant,technique,r2_mean,r2_std,rmse_mean,rmse_std
force_model,rf,-0.1595717338930758,0.0965077264468494,5.030910473590618,0.3784046299488687
force_model,elasticnet,0.1580630433738384,0.0663018975494157,4.280334392027008,0.1954008935051802
force_model,gam,0.2082096948670385,0.043007792384907,4.154553790539842,0.1934356262772064
force_model,mlp,0.1755897867958963,0.06129353493998,4.233720312855613,0.1254933178075441
upper_body_model,rf,0.7210626050928154,0.0584140652511814,2.4516643700896283,0.2825741669967752
upper_body_model,elasticnet,0.5628515322665135,0.0807957378296522,3.083781074667997,0.3955647375723932
upper_body_model,gam,0.6496139575487223,0.0625172117887281,2.752782859848147,0.266607839673601
upper_body_model,mlp,0.5363580709727653,0.105955792553485,3.177570046721306,0.5114907117260413
lower_body_model,rf,0.6819549213126426,0.0663277824594074,2.6289876265928207,0.3651332390310376
lower_body_model,elasticnet,0.2050026398222902,0.1129977173712648,4.14714224179456,0.2159753890190303
lower_body_model,gam,0.3679306651789421,0.1587657666839705,3.668418521713596,0.322798474133712
lower_body_model,mlp,-0.0880322857392525,0.5977952155874412,4.7443918631033295,1.4068937696723245
full_model,rf,0.767213323542203,0.0437827644477697,2.246371751168394,0.2676180280623488
full_model,elasticnet,0.6225098028133349,0.0408308258933161,2.8638508723416263,0.159939897982314
full_model,gam,0.688719758559992,0.0852976241416735,2.5635852917469486,0.2406015860350162
full_model,mlp,-1.3755379111531043,0.6813157111232917,7.15259437613818,1.1396899609098656
