column,status,flag_reason
SHOT_EVENT_ID,PASS,
PLAYER_NAME,PASS,
PLAYER_ID,PASS,
GAME_DATE,PASS,
GAME_ID,PASS,
MATCHUP,PASS,
TIME_REMAINING,PASS,
OT,PASS,
SHOT_MADE,PASS,
FGM,PASS,
PTS,PASS,
PTS_TYPE,PASS,
CLOSEST_DEFENDER,PASS,
CLOSEST_DEFENDER_PLAYER_ID,PASS,
SHOT_DIST,PASS,
TOUCH_TIME,PASS,
DRIBBLES,PASS,
SHOT_CLOCK,PASS,
LOCATION,PASS,
W,PASS,
SHOT_EVENT_ID,PASS,
