pitch_speed_mph,arm_slot,cog_velo_pkh,elbow_absorption_fp_br,elbow_flexion_fp,elbow_pronation_fp,elbow_transfer_fp_br,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,lead_grf_x_max,lead_grf_z_max,lead_hip_absorption_fp_br,lead_hip_transfer_fp_br,lead_knee_absorption_fp_br,lead_knee_extension_angular_velo_max,lead_knee_extension_from_fp_to_br,lead_knee_generation_fp_br,lead_knee_transfer_fp_br,max_cog_velo_x,max_elbow_extension_velo,max_elbow_flexion,max_rotation_hip_shoulder_separation,max_shoulder_external_rotation,max_shoulder_horizontal_abduction,max_shoulder_internal_rotational_velo,max_torso_rotational_velo,pelvis_anterior_tilt_fp,pelvis_lumbar_transfer_fp_br,pelvis_rotation_fp,rear_grf_mag_max,rear_grf_x_max,rear_hip_generation_pkh_fp,rear_knee_transfer_pkh_fp,shoulder_generation_fp_br,shoulder_horizontal_abduction_fp,shoulder_internal_rotation_moment,stride_angle,stride_length,torso_anterior_tilt_mer,torso_lateral_tilt_br,torso_lateral_tilt_fp,session_pitch,user,session_mass_kg,session_height_m,age_yrs,playing_level,p_throws
85.8,43.443,0.1964,47.4327,127.3359,12.4796,290.9866,82.9529,-59.0543,1007.1274,1936.1472,80.8426,91.8976,35.3977,395.4072,14.45,73.926,49.6586,3.039,2602.2304,128.6674,41.0581,163.6532,73.9714,4790.539,1190.8503,14.1369,54.4367,32.6341,1411.4514,874.8932,175.9136,76.3933,1.7343,48.8967,135.0781,-4.7763,0.8683,21.8513,17.5345,-8.8933,1313_3,789.0,84.3696,1.8288,19.02,college,R
84.6,43.3237,0.2183,49.9022,108.2677,23.2172,251.2652,77.3161,-21.7049,982.3134,1127.6517,69.6717,80.4356,7.4447,515.9114,34.0138,44.1545,61.3369,3.2749,2802.1296,124.6306,40.9342,181.1754,53.8909,5038.9421,1152.9967,6.1038,120.255,41.1683,1116.1997,714.9512,146.5395,64.2026,12.2904,53.4195,76.7728,3.3961,0.896,32.311,18.6014,5.0469,1346_1,894.0,72.1224,1.8288,20.67,college,R
84.5,46.0595,0.1786,49.08,106.8103,23.8923,252.2318,77.3455,-23.4735,947.2371,1163.9547,60.6009,72.8328,9.1933,606.3839,38.1721,42.5285,58.8374,3.1657,2846.3691,124.8584,41.5219,181.247,53.7841,5412.5614,1158.6598,3.9376,136.4182,38.0058,1076.3973,660.4068,157.5508,64.88,10.295,52.5763,81.667,4.3453,0.872,32.5674,19.6318,3.4769,1346_2,894.0,72.1224,1.8288,20.67,college,R
84.8,44.1021,0.1786,46.2989,108.054,25.5423,245.4362,78.8797,-18.2912,977.3276,1226.3619,71.2348,73.3298,12.0138,546.58,34.8785,42.0522,56.161,3.1293,2948.1106,125.8747,43.4676,180.423,54.9928,4992.0132,1150.8842,6.1294,119.5039,40.5144,1034.9953,638.4764,144.5623,65.5596,8.5651,53.7096,77.4744,3.8597,0.8783,31.1075,17.7542,3.3509,1346_3,894.0,72.1224,1.8288,20.67,college,R
87.8,38.934,0.1429,54.8845,95.9804,23.902,381.1959,72.2921,-39.0216,1221.451906844488,1969.7137791909909,108.62692671945165,74.50192018914095,15.850633942353522,490.8645,23.866,47.91203499285147,68.41162262552442,2.911,2233.9898,106.6919,28.4991,156.3049,56.1419,4378.9195,1152.4505,24.4865,225.08016106599,32.6846,1534.2223610309209,866.6612561708617,197.9314303606529,68.80552504103599,42.5345,45.3359,145.3004,6.8196,0.8212,20.9755,6.935,-7.7649,1370_1,905.0,104.328,1.905,23.43,independent,R
86.9,44.5495,0.2008,46.1824,95.4975,20.9519,379.88,77.1716,-40.4189,1198.1876,2067.6514,52.424,61.4443,30.8695,520.3264,10.5046,49.4332,47.3267,3.0026,2222.6486,107.0956,29.2075,158.2781,61.4977,4378.0302,1128.4979,24.8838,160.7699,20.8489,1951.4822,1086.3612,159.3829,85.2728,36.4721,47.4607,143.353,7.7095,0.8531,23.6557,9.0007,-7.9218,1370_2,905.0,104.328,1.905,23.43,independent,R
86.9,41.4121,0.1631,47.9142,97.3607,23.4679,385.0551,69.2236,-38.5218,1300.4097,2320.4255,61.8768,68.5538,7.3277,559.5884,23.527,37.9696,73.2981,2.911,2221.3792,106.0064,28.6646,158.9088,58.3429,4476.5891,1180.0418,22.8703,121.1622,33.4929,1956.7596,1031.4147,194.087,71.3775,34.2694,45.7115,142.7132,5.639,0.8341,20.8654,8.2042,-8.6769,1370_3,905.0,104.328,1.905,23.43,independent,R
87.4,38.2412,0.8571,79.6227,93.5293,37.3275,398.1099,80.1078,-36.8815,1149.5742,1874.7093,132.5253,37.334,70.22,297.536,-4.324,51.1746,9.8635,3.3841,2554.5219,124.9862,31.2807,176.3965,54.7356,4470.4298,1036.2166,11.0694,87.2559,26.7933,1994.58,1144.3725,160.9066,43.9075,55.8012,54.5165,98.9589,-1.779,0.8897,8.7875,9.9492,-10.1327,1371_2,906.0,99.3384,1.8034,25.27,milb,L
87.8,44.0141,0.3827,77.5226,96.7826,35.9775,401.3954,83.8852,-41.346,1128.3834,1877.9677,137.7738,43.1494,72.1495,282.5463,-4.5271,59.7694,11.0593,3.4029,2526.923,123.7532,29.8457,177.1948,54.5161,4472.2029,1049.9827,10.3312,103.7378,18.9766,2036.2475,1210.6458,154.6513,43.9292,52.6016,52.947,96.3547,0.3587,0.8838,11.2154,8.6506,-9.4847,1371_3,906.0,99.3384,1.8034,25.27,milb,L
71.3,59.8033,0.1819,34.8154,123.0936,0.9896,243.0425,75.8388,-30.2058,853.7552,1669.3614,115.26,36.3569,24.4023,291.667,-1.7492,15.7657,22.8265,2.8382,2726.5314,129.1739,16.1937,150.535,22.6615,4296.6623,994.3276,-10.1705,117.7054,32.2019,1398.9998,732.226,121.3334,25.5822,4.0429,19.7078,88.2882,-8.8481,0.7916,9.0913,31.1524,-11.7216,1393_1,919.0,88.9056,1.6764,23.05,independent,L
